2,2,2,2,2,2,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,10,12,12,12,12,12,12,14,14,14,14,14,14
10,50,100,500,1000,10000,10,50,100,500,1000,10000,10,50,100,500,1000,10000,10,50,100,500,1000,10000,10,50,100,500,1000,10000,10,50,100,500,1000,10000,10,50,100,500,1000,10000
Zemmour,Zemmour,Zemmour,Zemmour,Zemmour,Zemmour,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Jadot,Pécresse,Jadot,Jadot,Jadot,Hidalgo,Jadot,Pécresse,Jadot,Jadot,Jadot,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg
Zemmour,Zemmour,Zemmour,Zemmour,Zemmour,Zemmour,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Pécresse,Pécresse,Pécresse,Pécresse,Pécresse,Hidalgo,Pécresse,Pécresse,Pécresse,Pécresse,Pécresse,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Philipot,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg
Zemmour,Zemmour,Zemmour,Zemmour,Zemmour,Zemmour,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Jadot,Jadot,Jadot,Hidalgo,Pécresse,Hidalgo,Jadot,Jadot,Hidalgo,Hidalgo,Pécresse,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Philipot,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Philipot,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg
Zemmour,Zemmour,Zemmour,Zemmour,Zemmour,Zemmour,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Pécresse,Hidalgo,Jadot,Jadot,Jadot,Jadot,Hidalgo,Jadot,Jadot,Jadot,Jadot,Jadot,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg
Zemmour,Zemmour,Zemmour,Zemmour,Zemmour,Zemmour,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Jadot,Jadot,Jadot,Jadot,Jadot,Pécresse,Jadot,Jadot,Jadot,Jadot,Jadot,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg
Zemmour,Zemmour,Zemmour,Zemmour,Zemmour,Zemmour,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Jadot,Pécresse,Jadot,Jadot,Jadot,Hidalgo,Jadot,Pécresse,Jadot,Jadot,Jadot,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Philipot,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg
Zemmour,Zemmour,Zemmour,Zemmour,Zemmour,Zemmour,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Jadot,Jadot,Jadot,Jadot,Jadot,Jadot,Jadot,Jadot,Jadot,Jadot,Jadot,Jadot,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg
Zemmour,Zemmour,Zemmour,Zemmour,Zemmour,Zemmour,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Pécresse,Jadot,Jadot,Jadot,Jadot,Jadot,Pécresse,Jadot,Jadot,Jadot,Jadot,Jadot,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Philipot,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Philipot,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg
Zemmour,Zemmour,Zemmour,Zemmour,Zemmour,Zemmour,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Jadot,Jadot,Jadot,Jadot,Jadot,Pécresse,Jadot,Jadot,Jadot,Jadot,Jadot,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg
