2,2,2,2,2,2,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,10,12,12,12,12,12,12,14,14,14,14,14,14
10,50,100,500,1000,10000,10,50,100,500,1000,10000,10,50,100,500,1000,10000,10,50,100,500,1000,10000,10,50,100,500,1000,10000,10,50,100,500,1000,10000,10,50,100,500,1000,10000
Zemmour,Zemmour,Zemmour,Zemmour,Zemmour,Zemmour,Zemmour,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Pécresse,Pécresse,Jadot,Jadot,Jadot,Jadot,Lepen,Lepen,Jadot,Jadot,Jadot,Jadot,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg
Zemmour,Zemmour,Zemmour,Zemmour,Zemmour,Zemmour,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Pécresse,Pécresse,Pécresse,Pécresse,Pécresse,Pécresse,Pécresse,Lepen,Pécresse,Pécresse,Pécresse,Pécresse,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg
Zemmour,Zemmour,Zemmour,Zemmour,Zemmour,Zemmour,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Pécresse,Pécresse,Jadot,Pécresse,Jadot,Pécresse,Lepen,Lepen,Jadot,Pécresse,Jadot,Pécresse,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg
Poutou,Zemmour,Zemmour,Zemmour,Zemmour,Zemmour,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Jadot,Jadot,Jadot,Jadot,Jadot,Jadot,Jadot,Jadot,Jadot,Jadot,Jadot,Jadot,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg
Zemmour,Zemmour,Zemmour,Zemmour,Zemmour,Zemmour,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Jadot,Jadot,Jadot,Jadot,Jadot,Jadot,Lepen,Jadot,Jadot,Jadot,Jadot,Jadot,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg
Zemmour,Zemmour,Zemmour,Zemmour,Zemmour,Zemmour,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Pécresse,Pécresse,Jadot,Jadot,Jadot,Jadot,Pécresse,Lepen,Jadot,Jadot,Jadot,Jadot,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg
Zemmour,Zemmour,Zemmour,Zemmour,Zemmour,Zemmour,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Pécresse,Jadot,Jadot,Jadot,Jadot,Jadot,Lepen,Lepen,Jadot,Jadot,Jadot,Jadot,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg
Zemmour,Zemmour,Zemmour,Zemmour,Zemmour,Zemmour,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Jadot,Jadot,Jadot,Jadot,Jadot,Jadot,Lepen,Jadot,Jadot,Jadot,Jadot,Jadot,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg
Zemmour,Zemmour,Zemmour,Zemmour,Zemmour,Zemmour,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Hidalgo,Jadot,Jadot,Jadot,Jadot,Jadot,Jadot,Lepen,Jadot,Jadot,Jadot,Jadot,Jadot,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg
