2,2,2,2,2,2,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,10,10,12,12,12,12,12,12,14,14,14,14,14,14
10,50,100,500,1000,10000,10,50,100,500,1000,10000,10,50,100,500,1000,10000,10,50,100,500,1000,10000,10,50,100,500,1000,10000,10,50,100,500,1000,10000,10,50,100,500,1000,10000
Montebourg,,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Macron,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Macron,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Philipot,Philipot,Montebourg,Montebourg,Montebourg,Montebourg,Philipot,Philipot,Montebourg,Montebourg,Montebourg,Montebourg,Philipot,Philipot,Montebourg,Montebourg,Montebourg,Montebourg,Philipot,Philipot,Montebourg,Montebourg,Montebourg
Montebourg,Macron,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Macron,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Macron,Montebourg,Montebourg,Montebourg,Montebourg,Philipot,Philipot,Philipot,Philipot,Philipot,Philipot,Jadot,Philipot,Montebourg,Jadot,Jadot,Jadot,Jadot,Philipot,Montebourg,Macron,Macron,Macron,Jadot,Philipot,Montebourg,Macron,Macron,Macron
Montebourg,Macron,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Macron,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Macron,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Philipot,Philipot,Montebourg,Philipot,Philipot,Philipot,Philipot,Montebourg,Philipot,Macron,Jadot,Philipot,Philipot,Montebourg,Montebourg,Montebourg,Macron,Philipot,Philipot,Montebourg,Montebourg,Montebourg,Macron
Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Macron,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Pécresse,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Dupont-Aignan,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Macron,Montebourg,Montebourg,Montebourg,Montebourg,Jadot,Philipot,Montebourg,Montebourg,Montebourg,Montebourg
Montebourg,Macron,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg
Montebourg,Macron,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Macron,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Philipot,Philipot,Montebourg,Montebourg,Montebourg,Montebourg,Philipot,Montebourg,Montebourg,Montebourg,Jadot,Montebourg,Philipot,Philipot,Montebourg,Montebourg,Jadot,Montebourg,Philipot,Philipot,Montebourg,Montebourg,Jadot
Macron,Macron,Montebourg,Montebourg,Montebourg,Montebourg,Macron,Macron,Montebourg,Montebourg,Montebourg,Montebourg,Macron,Macron,Montebourg,Montebourg,Montebourg,Montebourg,Philipot,Macron,Philipot,Montebourg,Montebourg,Montebourg,Philipot,Macron,Philipot,Montebourg,Montebourg,Montebourg,Philipot,Macron,Philipot,Montebourg,Montebourg,Montebourg,Philipot,Macron,Philipot,Montebourg,Montebourg,Montebourg
Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg
Montebourg,Macron,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg,Montebourg
